1/2/1999|PALISADES 1|0|Reduced reactor coolant system inventory to replace Reactor Coolant Pump "A"
1/2/1999|PERRY 1|99|
1/2/1999|POINT BEACH 1|100|
1/2/1999|POINT BEACH 2|0|REFUELING OUTAGE - DEFUELED
1/2/1999|PRAIRIE ISLAND 1|100|
1/2/1999|PRAIRIE ISLAND 2|18|GENERATOR ONLINE - HOLDING POWER FOR STARTUP TESTING
1/2/1999|QUAD CITIES 1|100|
1/2/1999|QUAD CITIES 2|100|
1/2/1999|ARKANSAS NUCLEAR 1|0|Manual Reactor Trip. See event 35199. Design team reviewing intake structu
1/2/1999|ARKANSAS NUCLEAR 2|80|COASTDOWN TO REFUELING OUTAGE
1/2/1999|CALLAWAY 1|100|
1/2/1999|COMANCHE PEAK 1|100|
1/2/1999|COMANCHE PEAK 2|99|INCREASING POWER TO 100%
1/2/1999|COOPER 1|100|
1/2/1999|DIABLO CANYON 1|100|
1/2/1999|DIABLO CANYON 2|100|
1/2/1999|FT CALHOUN 1|100|
1/2/1999|GRAND GULF 1|100|
1/2/1999|PALO VERDE 1|100|
1/2/1999|PALO VERDE 2|100|
1/2/1999|PALO VERDE 3|100|
1/2/1999|RIVER BEND 1|96|
1/2/1999|SAN ONOFRE 2|85|COASTDOWN TO REFUELING OUTAGE
1/2/1999|SAN ONOFRE 3|100|
1/2/1999|SOUTH TEXAS 1|100|
1/2/1999|SOUTH TEXAS 2|100|
1/2/1999|WASHINGTON NUCLEAR 2|65|Economic dispatch.
1/2/1999|WATERFORD 3|100|
1/2/1999|WOLF CREEK 1|100|
1/3/1999|BEAVER VALLEY 1|100|
1/3/1999|BEAVER VALLEY 2|100|
1/3/1999|CALVERT CLIFFS 1|100|
1/3/1999|CALVERT CLIFFS 2|100|
1/3/1999|FITZPATRICK 1|90|Holding power level
1/3/1999|GINNA 1|100|
1/3/1999|HOPE CREEK 1|100|
1/3/1999|INDIAN POINT 2|99|
1/3/1999|INDIAN POINT 3|100|
1/3/1999|LIMERICK 1|100|
1/3/1999|LIMERICK 2|100|
1/3/1999|MILLSTONE 2|0|REFUELING OUTAGE - LOADING FUEL
1/3/1999|MILLSTONE 3|60|INCREASING POWER TO 65% FOR GENERATOR GROUND TROUBLESHOOTING
1/3/1999|NINE MILE POINT 1|100|
1/3/1999|NINE MILE POINT 2|100|
1/3/1999|OYSTER CREEK 1|100|
1/3/1999|PEACH BOTTOM 2|100|
1/3/1999|PEACH BOTTOM 3|100|
1/3/1999|PILGRIM 1|100|
1/3/1999|SALEM 1|100|
1/3/1999|SALEM 2|100|
1/3/1999|SEABROOK 1|100|
1/3/1999|SUSQUEHANNA 1|100|
